X,Y,TYPE,SPEED,DirType,Direction
-4.86252,36.56071,F060IRIBA-355Km28.5OjénDIRMarbella,0,4,0
-3.00088,43.33448,F060SMURBI-637Km13.75AntesTúnelArtazaDIRA-8,0,4,0
1.27116,41.15749,F070JAAMTP-2031Km4.77SanPedroDIRPallaresos,0,4,0
-3.69497,40.38680,F070KAPEM-30Km13.19EntradatúnelLegazpiDIRA-6,0,4,0
-3.69975,40.39112,F070KAPEM-30Km13.86TúnelLegazpiDIRA-6,0,4,0
-3.70971,40.39718,F070KAPEM-30Km15.02TúnelStaM.CabezaDIRA-6,0,4,0
-3.70325,40.39487,F070LMFRM-30Km14.20TúnelBy-passDIRA-6,0,4,0
-3.70809,40.39645,F070LMFRM-30Km14.74TúnelBy-passDIRA-6,0,4,0
-4.43987,36.71653,F050IRIBMálagaAvAndalucíaPteLasAméricasDIRCentro,0,4,0
-1.66197,42.80552,F050ATAJPamplonaAvNavarraTúnelClínicaDIRElSadar,0,4,0
-6.15207,36.52855,F060ENRIA-408Km2.5Puerto-RealDIRPaterna,0,4,0
-5.09753,37.80637,F050FRANPosadasA-431Km29.7DIRSevilla,0,4,0
-4.48819,40.40838,F090ABULN-403Km89.4ElTiembloDIRÁvila,0,4,0
-5.75209,36.81285,F090ENRIA-384Km8.1BornosDIRVillamartín,0,4,0
-5.58581,42.43346,F120ACELA-66Km160.5ArdónDIRGijón,0,4,0
-5.67352,42.58132,F120AROGAP-66Km140.8EnlaceLeónDIRSevilla,0,4,0
-0.43766,39.62357,F080A300CV-310Km14.8BéteraDIRNáquera,0,4,0
-0.85658,38.43940,F080A300CV-83Km7.05MonóvarDIRElda,0,4,0
1.36641,38.96802,F080IBZJIbizaEI-600Km9.6SanRafaelDIRSanAntonio,0,4,0
1.24838,41.25738,F080JAAMN-240Km15.7VallmollDIRTarragona,0,4,0
-0.72215,38.09752,F080A300CV-91Km19.1RojalesDIROrihuela,0,4,0
2.81285,42.06634,F100MAXAC-66Km38.12Palol-RevarditDIRGerona,0,4,0
0.94748,41.17201,F090JAAMN-420Km856.97Riudecols-LesIrlesDIRTarragona,0,4,0
3.07508,42.32690,F090MAXAN-260Km26.3GarriguellaDIRFigueras,0,4,0
-0.57582,38.45942,F120A300A-7Km487.7EnlaceAgostDIRAlicante,0,4,0
-4.23385,38.99740,F080ENONN-430Km274PiedrabuenaDIRMérida,0,4,0
3.01709,42.21875,F090MAXAC-31Km376.5Siurana-RiumorsDIRAmpurias,0,4,0
3.09052,41.95160,F090MAXAC-66Km5.5Forallac-StClimentPeraltaDIRGerona,0,4,0
2.19372,41.48768,F050NITOBV-5001Km7.8MontcadaDIRN,0,4,0
-0.01641,38.86456,F090A300N-332Km203.2ElVergelDIRValencia,0,4,0
-0.02674,38.87025,F090A300N-332Km204.65ElVergelDIRAlicante,0,4,0
1.99417,41.29139,F050TOPEC-245Km4.1CastelldefelsDIRGavá,0,4,0
0.71598,40.86938,F090AQUEN-340Km1104.77ElPerellóDIRValencia,0,4,0
-1.63382,42.81371,F050ATAJPamplonaAvBajaNavarra-MediaLunaDIRBurlada,0,4,0
-3.35038,40.66747,F080PASCN-320Km306.3TorrejóndelReyDIRTorrelaguna,0,4,0
-6.47875,39.90790,F090TRAGEX-109Km15TorrejoncilloDIRCáceres,0,4,0
